archArea,atchBldArea,atchBldCnt,bcRat,bjdongCd,bldNm,block,bun,bylotCnt,crtnDay,dongNm,emgenUseElvtCnt,engrEpi,engrGrade,engrRat,etcPurps,etcRoof,etcStrct,fmlyCnt,gnBldCert,gnBldGrade,grndFlrCnt,heit,hhldCnt,hoCnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,itgBldCert,itgBldGrade,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmBldrgstPk,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,newPlatPlc,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platArea,platGbCd,platPlc,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,rideUseElvtCnt,rnum,roofCd,roofCdNm,rserthqkAblty,rserthqkDsgnApplyYn,sigunguCd,splotNm,stcnsDay,strctCd,strctCdNm,totArea,totDongTotArea,ugrndFlrCnt,useAprDay,vlRat,vlRatEstmTotArea
148.37,0,0,56.84,10200,,,0042,1,20170304,,0,0,,0,다가구주택,평슬라브,철근콘크리트조,5,0,,3,9.8,0,0,0,0,0,0,0,,0000,,0,주건축물,01000,단독주택,11470-18290,10201,29.0,114704142167,7.0,0,서울특별시 양천구 목동중앙본로26길 29-7,46,4,0,0,261,0,서울특별시 양천구 목동 42번지,19970417,,,,,,1,일반,2,일반건축물,0,31,10,(철근)콘크리트,,,11470,,19970425,21,철근콘크리트구조,395.98,395.98,0,19970711,151.71,395.98
74.87,0,0,0,10200,,,0042,0,20170304,,0,0,,0,"주택, 근린생활시설",스라브기와,연와조,1,0,,2,0,0,0,0,0,0,0,0,,0001,,0,주건축물,01000,단독주택,11470-4445,10201,86.0,114703114006,1.0,0,서울특별시 양천구 목동중앙본로 86-1,0,0,0,0,0,0,서울특별시 양천구 목동 42-1번지,,,,,,,1,일반,2,일반건축물,0,32,10,(철근)콘크리트,,,11470,,,11,벽돌구조,198.51,198.51,1,19781127,0,147.85
153.3,0,0,59.74,10200,목동모던하우스,,0042,0,20190530,,0,0,,0,도시형생활주택-단지형다세대,철근콘크리트,철근콘크리트구조,0,0,,6,18.5,10,0,112.11,7,0,0,0,,0006,,0,주건축물,02000,공동주택,11470-100223087,10201,30.0,114704142167,0.0,0,서울특별시 양천구 목동중앙본로26길 30,11.5,1,0,0,256.6,0,서울특별시 양천구 목동 42-6번지,20160630,1101,신축허가,3140176,건축과,2016,2,집합,3,표제부,1,33,10,(철근)콘크리트,,1,11470,,20160702,21,철근콘크리트구조,498.33,498.33,0,20161226,194.2,498.33
152.07,0,0,26.59,10200,동양부로빌,,0042,0,20180914,102동,0,0,,0,공동주택(도시형생활주택-단지형다세대),(철근)콘크리트,철근콘크리트구조,0,0,,5,14.2,13,0,0,0,0,0,0,,0007,,0,주건축물,02000,공동주택,11470-100226164,10201,36.0,114704142167,0.0,0,서울특별시 양천구 목동중앙본로26길 36,0,0,0,0,572,0,서울특별시 양천구 목동 42-7번지,20161209,1101,신축허가,3140176,건축과,2016,2,집합,3,표제부,1,34,10,(철근)콘크리트,중요도 (1),1,11470,,20170112,21,철근콘크리트구조,549.44,549.44,0,20171121,96.06,549.44
152.07,0,0,26.59,10200,동양부로빌,,0042,0,20200427,101동,0,0,,0,공동주택(도시형생활주택-단지형다세대),(철근)콘크리트,철근콘크리트구조,0,0,,5,14.2,13,0,0,0,0,0,0,,0007,,0,주건축물,02000,공동주택,11470-100226150,10201,36.0,114704142167,0.0,0,서울특별시 양천구 목동중앙본로26길 36,0,0,0,0,572,0,서울특별시 양천구 목동 42-7번지,20161209,1101,신축허가,3140176,건축과,2016,2,집합,3,표제부,1,35,10,(철근)콘크리트,중요도 (1),1,11470,,20170112,21,철근콘크리트구조,1051.71,1051.71,1,20171121,97.22,556.09
106.59,0,0,40.38,10200,,,0042,0,20200427,,0,0,,0,"근린생활시설, 주택",경사스라브,철근콘크리트조,1,0,,2,8.6,0,0,0,0,0,0,0,,0010,,0,주건축물,01000,단독주택,11470-13964,10201,9.0,114704142167,0.0,0,서울특별시 양천구 목동중앙본로26길 9,23,2,0,0,264,0,서울특별시 양천구 목동 42-10번지,19990209,,,,,,1,일반,2,일반건축물,0,36,10,(철근)콘크리트,,0,11470,,19990302,21,철근콘크리트구조,322.37,322.37,1,19990626,68.85,181.78
162.99,0,0,59.05,10200,태산하이빌,,0042,0,20190530,,0,0,,0,다세대주택,평스라브,철근콘크리트구조,0,0,,5,14.4,8,0,34.5,3,0,0,0,,0011,,0,주건축물,02000,공동주택,11470-100205345,10201,9.0,114704142167,1.0,0,서울특별시 양천구 목동중앙본로26길 9-1,34.5,3,0,0,276,0,서울특별시 양천구 목동 42-11번지,20121203,1101,신축허가,3140160,건축과,2012,2,집합,3,표제부,0,37,10,(철근)콘크리트,,1,11470,,10130228,21,철근콘크리트구조,439.44,439.44,0,20130802,159.22,439.44
91.23,0,0,0,10200,,,0042,0,20200427,,0,0,,0,주택,스라브위기와,연와조,1,0,,2,0,0,0,0,0,0,0,0,,0013,,0,주건축물,01000,단독주택,11470-11347,10201,11.0,114704142167,1.0,0,서울특별시 양천구 목동중앙본로26길 11-1,0,0,0,0,0,0,서울특별시 양천구 목동 42-13번지,,,,,,,1,일반,2,일반건축물,0,38,20,기와,,0,11470,,,11,벽돌구조,256.82,256.82,1,19840126,0,160.34
150.66,0,0,57.07,10200,,,0042,0,20190530,,0,0,,0,다세대주택 및 근린생활시설,경사지붕,철근콘크리트구조,0,0,,5,14.6,6,1,69,6,0,0,0,,0014,,0,주건축물,02000,공동주택,11470-100191976,10201,11.0,114704142167,0.0,0,서울특별시 양천구 목동중앙본로26길 11,0,0,0,0,264,0,서울특별시 양천구 목동 42-14번지,20101101,1101,신축허가,3140136,건축과,2010,2,집합,3,표제부,0,39,10,(철근)콘크리트,,1,11470,,20101113,21,철근콘크리트구조,488.56,488.56,0,20110331,185.06,488.56
82.64,0,0,0,10200,,,0042,0,20171101,,0,0,,0,주택,"세멘와즙, 스라브",연와조,1,0,,2,0,0,0,0,0,0,0,0,,0015,,0,주건축물,01000,단독주택,11470-19224,10201,15.0,114704142167,0.0,0,서울특별시 양천구 목동중앙본로26길 15,0,0,0,0,0,0,서울특별시 양천구 목동 42-15번지,,,,,,,1,일반,2,일반건축물,0,40,10,(철근)콘크리트,,,11470,,,11,벽돌구조,182.74,182.74,1,19780707,0,117.03
