archArea,atchBldArea,atchBldCnt,bcRat,bjdongCd,bldNm,block,bun,bylotCnt,crtnDay,engrEpi,engrGrade,engrRat,etcPurps,fmlyCnt,gnBldCert,gnBldGrade,hhldCnt,hoCnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,itgBldCert,itgBldGrade,ji,lot,mainBldCnt,mainPurpsCd,mainPurpsCdNm,mgmBldrgstPk,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,newOldRegstrGbCd,newOldRegstrGbCdNm,newPlatPlc,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platArea,platGbCd,platPlc,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,rnum,sigunguCd,splotNm,stcnsDay,totArea,totPkngCnt,useAprDay,vlRat,vlRatEstmTotArea
248.16,0,0,56.92,10200,와이즈캐슬,,0324,2,20191016,0,,0,공동주택(다세대주택),0,0,,14,0,0,0,0,0,0,,0032,,2,02000,공동주택,11470-100233708,10201,46.0,114704142134,12.0,0,1,신대장,서울특별시 양천구 목동중앙남로16다길 46-12,138.7,12,0,0,436,0,서울특별시 양천구 목동 324-32번지,20161116,1101,신축허가,3140176,건축과,2016,2,집합,1,총괄표제부,30,11470,,20170616,870.44,12,20191015,199.64,870.44
286.24,0,0,59.26,10200,보타닉 목동,,0324,2,20220221,0,,0,공동주택(단지형다세대주택),0,0,,25,0,98.7,8,0,0,0,,0166,,2,02000,공동주택,11470-100245648,10201,16.0,114704142131,10.0,0,1,신대장,서울특별시 양천구 목동중앙남로16가길 16-10,75,6,0,0,483,0,서울특별시 양천구 목동 324-166번지,20210714,1101,신축허가,3140258,건축과,2021,2,집합,1,총괄표제부,31,11470,,20210728,1027.23,14,20220217,199.04,961.37
165.29,0,0,0,10200,,,0324,0,20111021,0,,0,다세대주택,0,0,,14,0,0,0,0,0,0,,0295,,2,02000,공동주택,11470-717,10201,36.0,114704142131,0.0,0,1,신대장,서울특별시 양천구 목동중앙남로16가길 36,0,0,0,0,0,0,서울특별시 양천구 목동 324-295번지,,,,,,,2,집합,1,총괄표제부,32,11470,,,578.22,0,,0,412.93
76.03,0,0,0,10200,,,0384,0,20120821,0,,0,단독주택,2,0,,0,0,0,0,0,0,0,,0000,,2,01000,단독주택,11470-695,,0.0,,0.0,0,1,신대장,,0,0,0,0,0,0,서울특별시 양천구 목동 384번지,,,,,,,1,일반,1,총괄표제부,33,11470,,,76.03,0,,0,76.03
2410.23,12.6,1,38.68,10200,목동 센트럴 푸르지오,,0404,0,20220729,0,,0,"공동주택(아파트),판매시설,근린생활시설",0,0,,248,15,18947.6019,463,0,0,0,,0013,,4,02000,공동주택,11470-100213765,,0.0,,0.0,0,1,신대장,,0,0,0,0,6232,0,서울특별시 양천구 목동 404-13번지,20111010,1101,신축허가,3140136,건축과,2011,2,집합,1,총괄표제부,34,11470,,20120530,56804.1561,463,20150630,499.97,31158.04
364.62,0,0,0,10200,,,0404,0,20111021,0,,0,제1종근린생활시설,2,0,,0,0,0,0,0,0,0,,0151,,2,03000,제1종근린생활시설,11470-33,10202,90.0,114703114009,0.0,0,1,신대장,서울특별시 양천구 신목로 90,0,0,0,0,0,0,서울특별시 양천구 목동 404-151번지,,,,,,,1,일반,1,총괄표제부,35,11470,,,1622.14,0,,0,1257.5
4571.84,0,3,0,10200,,,0405,0,20220511,0,,0,아파트,0,0,,338,0,0,0,0,0,0,,0000,,3,02000,공동주택,11470-90,10202,23.0,114704142097,0.0,0,1,신대장,서울특별시 양천구 목동동로12길 23,0,0,0,0,0,0,서울특별시 양천구 목동 405번지,,,,,,,2,집합,1,총괄표제부,36,11470,,,31351.55,0,,0,27097.88
184.8,0,0,0,10200,,,0405,0,20111021,0,,0,다세대주택,0,0,,16,0,0,0,0,0,0,,0034,,2,02000,공동주택,11470-718,10201,13.0,114704142306,0.0,0,1,신대장,서울특별시 양천구 오목로54길 13,0,0,0,0,0,0,서울특별시 양천구 목동 405-34번지,,,,,,,2,집합,1,총괄표제부,37,11470,,,718.08,0,,0,533.28
0,0,0,0,10200,,,0405,0,20090320,0,,0,단독주택,5,0,,0,0,0,0,0,0,0,,0163,,0,01000,단독주택,11470-697,10201,5.0,114704142098,0.0,0,1,신대장,서울특별시 양천구 목동동로14길 5,0,0,0,0,0,0,서울특별시 양천구 목동 405-163번지,,,,,,,1,일반,1,총괄표제부,38,11470,,,284.58,0,,0,0
1269.51,93.75,2,59.322897,10200,협성빌딩,,0405,7,20190227,0,,0,"근린생활시설,업무시설",0,0,,0,0,0,0,93.75,70,0,,0268,,2,14000,업무시설,11470-423,10202,336.0,114703114014,0.0,0,1,신대장,서울특별시 양천구 오목로 336,287.5,25,0,0,2140,0,서울특별시 양천구 목동 405-268번지,20020918,1101,신축허가,3140081,건축과,2002,1,일반,1,총괄표제부,39,11470,,20021002,6970.35,95,20030522,288.61214,6176.3
179.31,0,0,60.17,10200,,,0405,0,20210112,0,,0,단독주택 및 근린생활시설,2,0,,0,0,0,0,0,0,0,,0292,,2,01000,단독주택,11470-307,10202,13.0,114704142097,0.0,0,1,신대장,서울특별시 양천구 목동동로12길 13,0,0,0,0,298,0,서울특별시 양천구 목동 405-292번지,,,,,,,1,일반,1,총괄표제부,40,11470,,,381.38,0,,120.99,360.55
