"시도별","시점","15세이상인구[천명]","경제활동인구[천명]","취업자[천명]","실업자[천명]","비경제활동인구[천명]","경제활동참가율[%]","실업률[%]","고용률[%]","15-64세 고용률[%]",
"계","2008.04 월","39659.4","24698.8","23907.4","791.4","14960.6","62.3","3.2","60.3","64.4",
"계","2008.05 월","39708.7","24904.8","24143.8","761","14803.8","62.7","3.1","60.8","64.8",
"계","2008.06 월","39759.3","24944.1","24174.4","769.7","14815.2","62.7","3.1","60.8","64.8",
"계","2008.07 월","39810.7","24886.7","24114.3","772.4","14924","62.5","3.1","60.6","64.7",
"계","2008.08 월","39852.3","24593.3","23824.5","768.7","15259","61.7","3.1","59.8","63.8",
"계","2008.09 월","39893.1","24664.5","23935.6","728.9","15228.6","61.8","3","60","63.9",
"계","2008.10 월","39933","24787.3","24044.7","742.5","15145.7","62.1","3","60.2","64.2",
"계","2008.11 월","39978.5","24771.5","24016.5","755","15207.1","62","3","60.1","64.2",
"계","2008.12 월","40021.3","24233.3","23440.7","792.5","15788.1","60.6","3.3","58.6","63.1",
"계","2009.01 월","40085","23907.4","23051.1","856.2","16177.6","59.6","3.6","57.5","62.2",
"계","2009.02 월","40121.9","23862.5","22929.6","932.9","16259.4","59.5","3.9","57.1","61.8",
"계","2009.03 월","40157.3","24255.7","23295.1","960.6","15901.6","60.4","4","58","62.3",
"계","2009.04 월","40194.8","24649","23709.8","939.2","15545.9","61.3","3.8","59","63.1",
"계","2009.05 월","40237.6","24846.8","23904","942.8","15390.8","61.8","3.8","59.4","63.5",
"계","2009.06 월","40279.8","25114.2","24148.4","965.8","15165.5","62.3","3.8","60","63.9",
"계","2009.07 월","40323.9","24938.4","24006.3","932.1","15385.5","61.8","3.7","59.5","63.5",
"계","2009.08 월","40367.4","24703.8","23797.1","906.6","15663.7","61.2","3.7","59","62.9",
"계","2009.09 월","40403.9","24811.1","23982.5","828.6","15592.8","61.4","3.3","59.4","63.3",
"계","2009.10 월","40441.3","24842","24038.3","803.7","15599.3","61.4","3.2","59.4","63.4",
"계","2009.11 월","40481.7","24806.9","23982.8","824.2","15674.8","61.3","3.3","59.2","63.5",
"계","2009.12 월","40520.5","24244.5","23406.3","838.2","16276","59.8","3.5","57.8","62.7",
