시도별,시점,15세이상인구[천명],경제활동인구[천명],취업자[천명],실업자[천명],비경제활동인구[천명],경제활동참가율[%],실업률[%],고용률[%],15-64세 고용률[%]
서울특별시,201711,8546.4,5374.3,5156.4,217.9,3172.1,62.9,4.1,60.3,66.6
서울특별시,201712,8543.5,5349.5,5113.6,235.9,3193.9,62.6,4.4,59.9,66.1
서울특별시,201801,8540.3,5341.3,5104.6,236.7,3199.0,62.5,4.4,59.8,66.4
서울특별시,201802,8538.3,5343.9,5060.1,283.8,3194.4,62.6,5.3,59.3,65.8
서울특별시,201803,8534.2,5380.8,5082.5,298.3,3153.4,63.0,5.5,59.6,65.9
서울특별시,201804,8532.5,5363.3,5097.6,265.7,3169.2,62.9,5.0,59.7,66.1
서울특별시,201805,8530.3,5381.4,5096.6,284.8,3148.9,63.1,5.3,59.7,66.1
서울특별시,201806,8528.3,5381.7,5123.5,258.2,3146.6,63.1,4.8,60.1,66.5
서울특별시,201807,8522.3,5355.2,5102.4,252.8,3167.1,62.8,4.7,59.9,66.2
서울특별시,201808,8516.2,5330.2,5066.3,263.9,3186.0,62.6,5.0,59.5,65.9
서울특별시,201809,8510.2,5311.4,5049.8,261.6,3198.8,62.4,4.9,59.3,65.8
서울특별시,201810,8504.0,5277.0,5054.8,222.1,3227.1,62.1,4.2,59.4,65.9
서울특별시,201811,8497.4,5290.8,5088.7,202.1,3206.6,62.3,3.8,59.9,66.1
서울특별시,201812,8492.4,5258.5,5035.7,222.9,3233.8,61.9,4.2,59.3,65.7
서울특별시,201901,8484.8,5244.3,4976.5,267.8,3240.5,61.8,5.1,58.7,65.3
서울특별시,201902,8487.0,5236.1,4958.1,278.0,3250.9,61.7,5.3,58.4,65.1
서울특별시,201903,8483.3,5274.5,4981.6,292.9,3208.8,62.2,5.6,58.7,65.1
서울특별시,201904,8480.8,5329.0,5052.4,276.6,3151.8,62.8,5.2,59.6,65.8
서울특별시,201905,8475.3,5367.9,5107.4,260.5,3107.5,63.3,4.9,60.3,66.5
서울특별시,201906,8473.0,5368.3,5134.0,234.4,3104.7,63.4,4.4,60.6,66.7
서울특별시,201907,8474.8,5389.1,5152.9,236.3,3085.7,63.6,4.4,60.8,67.0
서울특별시,201908,8473.7,5337.1,5132.3,204.9,3136.5,63.0,3.8,60.6,66.8
서울특별시,201909,8474.2,5344.5,5150.6,193.9,3129.7,63.1,3.6,60.8,67.1
서울특별시,201910,8475.0,5334.5,5142.5,192.0,3140.5,62.9,3.6,60.7,66.9
서울특별시,201911,8475.1,5310.8,5128.6,182.1,3164.3,62.7,3.4,60.5,66.7
서울특별시,201912,8477.2,5294.5,5117.3,177.2,3182.7,62.5,3.3,60.4,66.9
서울특별시,202001,8482.4,5312.5,5088.8,223.7,3170.0,62.6,4.2,60.0,66.8
서울특별시,202002,8492.2,5330.2,5102.9,227.4,3162.0,62.8,4.3,60.1,66.8
서울특별시,202003,8499.0,5281.7,5016.8,264.9,3217.3,62.1,5.0,59.0,65.6
서울특별시,202004,8505.5,5266.6,4986.0,280.6,3238.9,61.9,5.3,58.6,65.1
서울특별시,202005,8515.1,5340.9,5033.2,307.8,3174.2,62.7,5.8,59.1,65.8
서울특별시,202006,8522.7,5303.2,5048.8,254.4,3219.6,62.2,4.8,59.2,65.9
서울특별시,202007,8524.3,5312.6,5076.0,236.7,3211.7,62.3,4.5,59.5,66.1
서울특별시,202008,8525.5,5258.7,5082.7,176.0,3266.8,61.7,3.3,59.6,66.2
서울특별시,202009,8526.6,5239.4,5019.5,219.9,3287.2,61.4,4.2,58.9,65.3
서울특별시,202010,8528.8,5289.5,5048.0,241.5,3239.3,62.0,4.6,59.2,65.7
서울특별시,202011,8532.2,5320.5,5098.8,221.7,3211.7,62.4,4.2,59.8,66.3
서울특별시,202012,8535.9,5254.4,5015.8,238.6,3281.5,61.6,4.5,58.8,65.6
서울특별시,202101,8540.4,5233.6,4892.5,341.1,3306.8,61.3,6.5,57.3,64.6
서울특별시,202102,8539.5,5284.4,4943.3,341.0,3255.1,61.9,6.5,57.9,65.1
서울특별시,202103,8538.8,5332.9,5044.9,288.0,3205.9,62.5,5.4,59.1,66.2
서울특별시,202104,8538.1,5325.7,5057.3,268.4,3212.4,62.4,5.0,59.2,66.3
서울특별시,202105,8537.7,5369.7,5088.0,281.6,3168.0,62.9,5.2,59.6,66.7
서울특별시,202106,8536.9,5379.0,5097.7,281.3,3157.9,63.0,5.2,59.7,66.9
서울특별시,202107,8534.2,5325.9,5087.2,238.7,3208.2,62.4,4.5,59.6,67.0
서울특별시,202108,8530.2,5262.7,5053.2,209.5,3267.5,61.7,4.0,59.2,66.5
서울특별시,202109,8527.2,5281.5,5089.4,192.1,3245.7,61.9,3.6,59.7,67.1
서울특별시,202110,8524.9,5298.0,5074.4,223.6,3226.9,62.1,4.2,59.5,66.9
서울특별시,202111,8524.0,5323.8,5105.1,218.8,3200.1,62.5,4.1,59.9,67.3
서울특별시,202112,8521.7,5328.2,5126.9,201.3,3193.5,62.5,3.8,60.2,68.0
서울특별시,202201,8515.5,5276.6,5026.4,250.2,3238.9,62.0,4.7,59.0,67.2
서울특별시,202202,8502.8,5305.4,5075.4,230.0,3197.4,62.4,4.3,59.7,67.6
서울특별시,202203,8489.3,5295.2,5077.5,217.7,3194.1,62.4,4.1,59.8,67.6
서울특별시,202204,8476.8,5326.1,5119.7,206.3,3150.7,62.8,3.9,60.4,68.4
서울특별시,202205,8463.9,5331.4,5145.1,186.2,3132.6,63.0,3.5,60.8,68.9
서울특별시,202206,8449.9,5320.4,5137.0,183.3,3129.5,63.0,3.4,60.8,68.8
서울특별시,202207,8448.6,5316.3,5142.0,174.3,3132.3,62.9,3.3,60.9,68.9
서울특별시,202208,8447.9,5249.6,5126.7,122.8,3198.3,62.1,2.3,60.7,68.7
서울특별시,202209,8447.3,5279.7,5129.8,149.9,3167.5,62.5,2.8,60.7,68.7
부산광역시,199906,2946.0,1738.0,1556.0,182.0,1209.0,59.0,10.5,52.8,55.5
부산광역시,199907,2947.0,1745.0,1566.0,180.0,1202.0,59.2,10.3,53.1,55.8
부산광역시,199908,2947.0,1734.0,1573.0,160.0,1214.0,58.8,9.2,53.4,56.1
부산광역시,199909,2947.0,1751.0,1613.0,138.0,1196.0,59.4,7.9,54.7,57.6
부산광역시,199910,2947.0,1754.0,1619.0,135.0,1193.0,59.5,7.7,54.9,57.7
